Date,Open,High,Low,Close,Volume,Stock,LABEL
2012-03-19,35.26,35.32,34.54,34.98,1015586,TSLA,1
2011-03-11,23.85,24.25,23.53,24.07,930794,TSLA,-1
2016-05-10,207.55,209.47,205.0,208.69,3491633,TSLA,1
2013-03-06,37.01,37.88,36.97,37.69,1149925,TSLA,-1
2016-03-22,237.21,238.99,232.558,234.24,4315988,TSLA,1
2012-10-01,29.5,29.89,29.0,29.16,884305,TSLA,-1
2015-06-10,251.9,254.0,248.5,250.7,3454074,TSLA,1
2016-03-14,212.65,216.72,210.64,215.15,4065706,TSLA,-1
2016-10-04,213.1,213.32,208.82,211.41,3036625,TSLA,-1
2011-05-06,26.99,27.7,26.62,27.12,981606,TSLA,-1
2017-05-08,310.9,313.79,305.82,307.19,7003468,TSLA,1
2011-11-03,30.0,32.49,29.53,32.46,2510603,TSLA,-1
2016-02-01,188.76,199.52,182.75,196.94,4572522,TSLA,1
2012-05-29,30.01,31.93,30.01,31.69,1649917,TSLA,-1
2012-03-14,36.0,36.0,34.8,35.29,851464,TSLA,1
2016-11-25,193.64,197.237,193.64,196.65,2322216,TSLA,1
2011-09-07,23.42,24.0,23.28,23.84,459186,TSLA,-1
2010-08-13,18.18,18.45,17.66,18.32,634513,TSLA,-1
2017-05-04,307.435,307.77,290.76,295.46,14138529,TSLA,1
2013-04-10,40.76,42.01,40.61,41.86,2121088,TSLA,-1
2012-06-01,28.53,29.16,27.76,28.15,885710,TSLA,-1
2010-09-23,19.89,20.14,19.5,19.56,668076,TSLA,-1
2013-10-18,184.15,185.96,182.52,183.4,5919366,TSLA,1
2010-10-05,21.15,21.28,21.01,21.12,331936,TSLA,-1
2011-03-16,22.86,23.25,22.69,22.82,1169676,TSLA,1
2016-07-21,226.0,227.847,219.1,220.5,3753150,TSLA,1
2013-06-20,104.65,107.13,99.45,100.65,10108234,TSLA,-1
2011-08-12,25.6,27.14,25.36,26.31,1009020,TSLA,-1
2011-09-09,23.37,23.57,22.55,22.97,669263,TSLA,-1
2015-11-11,217.77,219.48,213.63,219.08,3347800,TSLA,1
2016-07-18,219.64,227.09,218.3,226.25,2894015,TSLA,1
2014-02-03,182.89,184.88,175.16,177.11,6774618,TSLA,-1
2012-09-28,28.73,29.89,28.61,29.28,4343338,TSLA,-1
2013-11-06,154.81,160.73,146.35,151.16,31056137,TSLA,1
2012-02-16,33.5,34.51,32.54,34.19,2078550,TSLA,-1
2017-08-31,353.55,358.44,352.82,355.9,4065690,TSLA,1
2012-04-20,33.14,33.73,32.94,33.16,821774,TSLA,-1
2015-06-23,260.31,268.0,258.57,267.67,3870818,TSLA,1
2010-12-23,31.26,32.48,29.92,30.09,1552525,TSLA,-1
2015-11-05,230.58,234.58,229.19,231.77,4496800,TSLA,1
2016-09-12,195.0,201.36900000000003,194.1,198.3,3045470,TSLA,-1
2011-04-18,25.13,25.62,24.36,25.03,1033871,TSLA,-1
2011-09-27,26.0,26.99,25.57,26.19,674429,TSLA,1
2015-02-13,202.89,205.99,200.91,203.77,6177508,TSLA,1
2010-08-18,19.59,19.59,18.6,18.77,601332,TSLA,-1
2013-08-06,144.93,145.73,141.1,142.15,9256755,TSLA,1
2017-07-21,329.46,331.25800000000004,325.8,328.4,4871775,TSLA,1
2010-08-06,20.1,20.16,19.52,19.59,742138,TSLA,-1
2012-07-27,28.71,29.66,28.1,29.51,1672968,TSLA,1
2015-12-28,231.49,231.98,225.54,228.95,1901304,TSLA,1
2015-06-11,253.26,254.37,250.43,251.41,2044058,TSLA,1
2011-10-12,27.25,28.0,27.2,27.8,1123364,TSLA,-1
2012-10-16,27.67,28.09,27.34,28.06,479248,TSLA,1
2011-01-06,26.81,28.0,26.81,27.88,2061117,TSLA,-1
2013-10-25,174.21,174.5,166.8,169.66,7591259,TSLA,1
2014-09-11,280.46,284.79,278.63,280.31,3766514,TSLA,1
2011-09-23,25.42,26.62,25.35,26.38,1156328,TSLA,-1
2014-03-06,254.14,257.5,249.45,252.94,7367594,TSLA,1
2016-12-01,188.25,188.53,181.0,181.88,4984959,TSLA,-1
2016-12-21,208.45,212.23,207.41,207.7,5089610,TSLA,1
2011-10-13,27.73,28.47,27.44,27.94,1043413,TSLA,-1
2013-06-14,100.0,102.52,99.33,100.3,6565821,TSLA,1
2013-03-20,35.26,36.07,35.16,35.95,1423684,TSLA,-1
2012-10-10,28.39,28.72,28.01,28.4,505063,TSLA,-1
2014-11-25,247.35,249.72,246.09,248.09,3156210,TSLA,1
2012-08-28,28.4,29.375,28.0,28.69,1402656,TSLA,-1
2015-12-16,222.1,234.88,220.73,234.51,5104300,TSLA,1
2016-04-05,240.5,256.56,240.0,255.47,9669381,TSLA,1
2013-03-27,37.94,38.38,37.31,38.16,1296283,TSLA,-1
2016-11-10,191.05,191.61,180.42,185.35,6662170,TSLA,1
2013-12-16,148.5,150.43,146.1,147.94,6669377,TSLA,-1
2013-09-06,168.57,169.7,165.15,166.97,8616261,TSLA,1
2010-10-28,21.39,21.5,20.96,21.19,224190,TSLA,-1
2015-02-17,205.7,205.7,201.5,204.35,3977927,TSLA,1
2011-01-21,23.24,23.59,22.71,23.04,1148866,TSLA,-1
2014-11-06,234.72,246.69,228.5,241.22,15348559,TSLA,1
2012-09-10,29.2,29.35,27.3,27.37,1483215,TSLA,-1
2017-05-03,317.67,321.53,310.45,311.02,6906462,TSLA,1
2011-11-15,32.92,34.4,32.73,33.93,890905,TSLA,-1
2013-02-26,34.46,34.96,33.8,34.43,2762900,TSLA,1
2011-08-01,28.67,28.98,28.21,28.77,1164822,TSLA,-1
2010-08-27,19.75,19.87,19.5,19.7,378145,TSLA,-1
2011-04-29,27.69,27.87,27.42,27.6,726240,TSLA,1
2012-06-08,28.86,30.19,28.15,30.08,881209,TSLA,1
2015-12-09,226.7,227.5,220.72,224.52,3057700,TSLA,1
2013-10-16,184.9,187.3,182.09,183.56,8199235,TSLA,-1
2012-05-02,33.5,34.39,33.39,33.94,497251,TSLA,-1
2017-02-08,257.35,263.36,256.2,262.08,3880660,TSLA,1
2017-08-01,323.0,324.45,316.13,319.57,8287814,TSLA,1
2014-03-31,216.5,216.75,206.39,208.45,8375897,TSLA,-1
2016-08-05,230.0,232.0,227.4,230.03,2538457,TSLA,1
2012-05-04,32.32,32.46,31.4,31.83,1247486,TSLA,-1
2014-08-04,234.38,240.5,233.27,238.52,5964318,TSLA,1
2010-09-01,19.62,20.69,19.6,20.45,494885,TSLA,-1
2017-05-11,323.4,326.0,319.6,323.1,4747713,TSLA,1
2015-08-06,249.54,255.0,236.12,246.13,14619742,TSLA,-1
2015-04-13,210.72,213.0,209.05,209.78,3758200,TSLA,-1
2014-05-12,183.87,187.19,179.88,184.67,7002342,TSLA,-1
2013-11-29,129.77,130.59,126.98,127.28,9716219,TSLA,-1
2017-08-04,347.0,357.27,343.3,356.91,9238520,TSLA,1
2011-08-02,28.69,29.2,27.27,27.34,1546120,TSLA,-1
2014-10-08,260.1,262.88,252.64,259.28,5059361,TSLA,1
2015-07-09,259.08,262.95,256.79,257.92,3334000,TSLA,-1
2016-08-11,226.17,227.57,223.41,224.91,1638993,TSLA,-1
2015-08-24,202.79,231.4,195.0,218.87,9580689,TSLA,-1
2016-11-14,188.0,188.25,178.19,181.45,6552205,TSLA,-1
2016-01-25,200.06,203.57,195.88,196.37,2150984,TSLA,1
2012-03-21,34.94,35.3,34.6,35.15,607103,TSLA,-1
2015-10-19,226.5,231.15,224.94,228.1,2507895,TSLA,1
2017-05-01,314.88,327.25,314.81,322.83,8821106,TSLA,1
2011-08-26,22.71,23.95,22.07,23.73,761756,TSLA,-1
2012-08-31,28.61,28.84,28.2,28.52,539736,TSLA,1
2013-07-25,120.4,124.75,120.19,124.07,5284244,TSLA,1
2015-01-12,203.05,204.47,199.25,202.21,5950245,TSLA,1
2016-02-17,159.0,169.34,156.68,168.68,5100855,TSLA,-1
2011-10-06,25.48,27.6,25.02,26.96,1769026,TSLA,-1
2014-09-12,280.77,282.39,277.0,279.2,3326702,TSLA,1
2015-09-17,263.96,265.5,260.69,262.07,3585812,TSLA,-1
2013-07-17,106.52,121.62,104.5,120.25,26021920,TSLA,-1
2017-01-17,236.7,239.96,234.37,235.58,4599431,TSLA,1
2012-04-24,31.82,32.2,31.0,31.82,674467,TSLA,-1
2011-09-12,22.89,23.31,22.45,22.88,566571,TSLA,-1
2015-08-31,245.62,254.95,245.51,249.06,4700200,TSLA,1
2012-01-25,27.27,28.01,27.05,27.97,611112,TSLA,-1
2013-02-01,38.17,38.5,37.62,38.3,1100590,TSLA,1
2017-07-13,330.11,331.6,319.97,323.41,8583086,TSLA,1
2017-05-10,321.56,325.5,318.12,325.22,5735245,TSLA,1
2013-09-20,178.9,185.83,178.56,183.39,13394611,TSLA,-1
2010-12-20,31.64,32.19,31.26,31.7,523320,TSLA,-1
2013-07-05,118.32,120.28,115.7,120.09,6823245,TSLA,1
2014-05-16,188.95,192.04,187.72,191.56,4487774,TSLA,1
2016-07-11,219.96,226.78,219.51,224.78,4733773,TSLA,1
2013-08-02,134.59,138.25,133.61,138.0,6251202,TSLA,-1
2014-08-08,251.16,251.76,246.5,248.13,5097742,TSLA,1
2010-12-14,30.29,30.39,27.76,28.53,1765685,TSLA,-1
2011-10-10,27.35,28.18,27.0,27.88,923416,TSLA,-1
2016-08-03,227.37,229.699,224.21,225.58,2730615,TSLA,1
2015-04-29,230.05,234.97,227.63,232.45,3936000,TSLA,1
2015-06-03,248.2,250.72,247.01,248.99,1781500,TSLA,1
2011-09-13,23.01,24.1,22.75,24.08,726461,TSLA,-1
2011-04-15,25.65,26.18,25.41,25.58,943451,TSLA,1
2011-12-06,34.2,34.98,34.03,34.87,951710,TSLA,1
2017-02-17,265.8,272.89,264.15,272.23,6122976,TSLA,1
2011-12-08,30.84,31.65,29.61,30.89,3305945,TSLA,-1
2013-04-18,45.84,47.6,45.39,46.97,3368100,TSLA,1
2014-08-15,261.48,262.09,258.5,262.01,3862040,TSLA,1
2011-04-25,26.7,26.73,25.97,26.39,800839,TSLA,-1
2015-12-07,227.7,235.63,226.15,231.13,3144200,TSLA,1
2014-12-23,223.81,224.32,219.52,220.97,4512342,TSLA,-1
2015-07-27,262.43,264.43,250.79,253.01,4694100,TSLA,1
2017-06-28,366.68,371.74,362.52,371.24,6293162,TSLA,1
2011-10-19,28.06,28.06,27.3,27.57,792850,TSLA,-1
2015-12-31,238.51,243.45,238.37,240.01,2503103,TSLA,1
2012-03-05,34.16,34.4,33.46,33.77,466938,TSLA,-1
2011-11-04,31.46,32.4,30.51,32.31,3033107,TSLA,-1
2016-10-20,202.12,203.0,197.05,199.1,4329868,TSLA,1
2013-05-30,102.46,109.54,101.2,104.95,16135595,TSLA,-1
2017-09-08,348.99,349.78,342.3,343.4,3261389,TSLA,1
2017-09-22,366.49,369.9,350.88,351.09,8144339,TSLA,1
2014-02-14,198.1,201.88,197.0,198.23,6171720,TSLA,-1
2011-12-27,27.66,28.77,27.64,28.57,777403,TSLA,-1
2011-01-28,24.81,24.85,23.75,24.01,1005445,TSLA,-1
2016-08-15,226.02,229.5,224.93,225.59,1657280,TSLA,1
2012-07-19,32.72,33.15,32.04,32.27,1435878,TSLA,-1
2012-06-29,32.8,32.8,31.0,31.29,1125704,TSLA,-1
2015-10-16,223.04,230.48,222.87,227.01,4334400,TSLA,1
2013-03-14,38.9,38.91,36.77,36.85,2024459,TSLA,-1
2010-08-11,18.69,18.88,17.85,17.9,797650,TSLA,-1
2017-09-15,374.51,380.0,372.7,379.81,5409018,TSLA,1
2010-11-23,33.29,35.68,32.19,34.57,1577970,TSLA,-1
2011-05-04,26.78,27.0,25.75,26.69,1044699,TSLA,-1
2017-09-05,353.8,355.49,345.89,349.59,3843028,TSLA,1
2014-10-03,253.1,256.5,251.03,255.21,5407349,TSLA,-1
2016-09-14,195.75,197.925,194.856,196.41,1750864,TSLA,-1
2016-06-17,217.81,219.99,214.5,215.48,2605683,TSLA,1
2010-07-27,20.91,21.18,20.26,20.55,619675,TSLA,-1
2011-04-05,25.9,27.0,25.69,26.7,3181627,TSLA,1
2012-01-26,28.0,29.58,28.0,28.94,1271028,TSLA,1
2013-07-23,124.0,125.56,121.82,122.74,7736552,TSLA,1
